GLON(DEG),VLSR(km/s),VLSR(km/s),VLSR(km/s),VLSR(km/s),VLSR(km/s),VLSR(km/s)
5,5.4,,,,,
6,6.08,,,,,
7,6.51,,,,,
8,7.58,,,,,
9,9.22,,,,,
10,11.17,,,,,
11,12.29,,,,,
12,15.26,,,,,
13,17.44,,,,,
14,19.18,-17.3,,,,
15,19.61,-20.1,,,,
16,19.84,-21.2,,,,
17,20.1,-22.9,,,,
18,19.1,-22.4,,,,
19,18.9,-22.6,,,,
20,18.7,-23.1,,,,
21,18.48,-23.7,107.6,,,
22,17.6,-24.1,94.3,,,
23,15.7,-27.9,93.4,44.5,,
24,14.8,-28.7,95.96,45.54,,
25,14.5,-29.8,96.1,46.9,,
26,15.6,-30.1,95.3,46.25,,
27,16.91,-30.5,76.65,,,
28,17.73,-30.8,79.32,,,
29,18.7,-31.1,80.7,,,
30,17.83,-30.8,83.2,46.77,,
31,18.17,-28.5,84.18,45.32,,
32,20.32,-27.38,83.66,45.2,,
33,19.27,-29.26,85.01,46.44,,
34,20.45,-30.63,83.98,47.88,,
35,25.22,-33.2,79.63,50.3,,
36,27.13,-34.4,77.05,54.52,,
37,27.6,-35.38,78.78,55.7,,
38,7.1,-36.06,53.64,35.64,,
39,7.83,-37.73,56.46,34.95,,
40,8.25,-38.21,57.96,35.28,,
41,7.9,-38.16,59.32,35.25,,
42,7.1,-39.1,59.1,35,,
43,9.6,-39.82,57.74,35.1,,
44,9.73,-40,56.8,37.4,,
45,9.2,-43.29,55.2,19.61,,
46,9.1,-45.13,53.6,20.14,,
47,9.08,-47.01,53.16,18.86,,
48,9.24,-47.52,52.21,19.27,,
49,10.5,-48.07,50.98,20.03,,
50,10.12,-49.62,49.68,20.8,,
51,14.3,-49.86,49.6,,,
52,13.47,-48.56,48.12,,,
53,13.52,-48.23,45.62,,,
54,13,-51.2,38.74,,,
55,10.39,-51.72,34.87,,,
56,10.61,-56.63,30.73,,,
57,11.53,-59.07,29.82,,,
58,19.35,-59.21,,,,
59,19.72,-60.6,,,,
60,20.17,-61.34,72.21,,,
61,19.03,-63.37,72.13,,,
62,18.83,-64.02,72.06,,,
63,17.49,-64.84,71.62,,,
64,16.91,-65,,,,
65,10.01,-64.69,,,,
66,8.98,-64.45,,,,
67,8.18,-64.49,,,,
68,7.59,-65.1,,,,
69,6.51,-65.84,,,,
70,6.06,-66.16,,,,
71,5.14,-66.06,-23.59,,,
72,4.68,-66.1,-22.76,,,
73,3.36,-66.37,-23.04,,,
74,2.32,-67.32,-24.22,,,
75,1.8,-69.9,-25.95,,,
76,1.66,-70.06,-26.51,,,
77,1.32,-70.69,-29.1,,,
78,1.58,-70.39,-29.72,,,
79,1.97,-69.57,-35.55,,,
80,2.24,-69.61,-36.35,,,
81,2.57,-69.76,-39.44,,,
82,1.74,-70.61,-40.39,,,
83,0.01,-73.57,-40.34,,,
84,-0.72,-73.76,-40.66,,,
85,3.36,-75.62,-41.79,-13.81,,
86,3.98,-75.84,-42.66,-13.39,,
87,3.61,-75.48,-43.22,-19.45,,
88,3.22,-74.83,-42.61,-21.04,,
89,3.09,-75.02,-43.06,-22.14,,
90,2.44,,-40.53,-22.04,,
91,2.16,,-40.31,-23.93,,
92,1.45,,-40.59,,,
93,0.42,,-40.86,,,
94,-2.17,,-40.1,,,
95,-4.86,,-40.71,,,
